Product Review ID,Title,rating,detail_review,upvote,downvote
18,Really Nice,4,"Having used this laptop for three weeks now, I'm compelled to share my experience. Coming from an ASUS ROG ZEPHYRUS G14 with R7 4800HS and GTX 1650ti, I've observed a few notable points:1. Visual Appeal: The laptop looks better in person than it does in pictures.2. Stunning Display: The display is vibrant, responsive, and exhibits vivid colors.   ***there's a slight IPS glow in darker scenes, it's almost unnoticeable in regular use.***3. Keyboard: The keyboard provide great typing expe...",5,0
18,Awesome,5,Best laptop,5,0
18,Delightful,4,"It's a value for money deal at 95k with latest gen CPU, GPU and RAM. Performance is on par with expectations and thermals are really good. Display is good enough, qwhd would have been better. Fans make a lot of noise but that's the price one has pay for seamless gaming on a laptop. Battery is good too. If only weight was a little less or it had more of metal frame the build quality would have felt nicer, right now it feels a bit bulky but not strong enough due to plastic body.I'm just nit p...",4,0
18,Classy product,5,"The best you can get, simply amazing!",4,0
19,Mind-blowing purchase,5,Excellent laptop go for it if u have the budget,47,12
19,Fabulous!,5,"It's a great laptop in this price range .Pros -Thermals are great 👍🏻The display is literally nice and you will love it .Performance is also good Cons - I don't know it's only with my product or for every unit I found sometimes when you right click mouse it doesn't work in centre or left of the screen ( your pov ) .At day 2 my RGB was not working properly and I had to go to BIOS to reset it , it is working now 👍🏻 but still when you open your laptop it starts with blue colour RGB and...",54,17
19,Terrific,5,Best performance in the budget,40,12
19,Very poor,,I ordered this for 50k but unfortunately flipkart cancelled it saying wrong price was listed. I again ordered it for 90k.Windows runs great but do lags often.Linux support is worst acer should work on this to enable hardware for linux users..Webcam is not enabled for linux users.Cannot control fan or lighte on linux.READ MORE,10,3
19,Recommended for Coding Purposes!,5,"I have bought this laptop for coding purposes, especially Android App Development. I use Android Studio on a regular basis. This laptop handles everything perfectly. However, when I use an emulator in Android Studio, sometimes the laptop freezes and I have to shut it down forcefully. I think the problem is from the Android Studio because apart from this all the applications work smoothly.",11,5
19,Must buy!,5,Nice looking ☺️☺️,3,0
19,Highly recommended,5,"Great value for money product, performance is top notch, Display is amazing, Battery backup is good, no heating issue, in turbo mode thermal fans make the sound of a jet engine.",5,1
19,Terrific purchase,5,Value for money in this price,5,1
19,Worst experience ever!,,I have received the laptop with only one slot ram.It was supposed to be dual channel ram.The laptop is heating too much. The cpu temp is going 100 even at the slightest load.I don't know what is going on.The processor is limited at 4ghz .It doesn't support undervoltage.READ MORE,6,3
19,Terrific,5,It's just wow!!😲😲,2,0
20,Wonderful,5,"Very light, strong build quality,  battery backup is really good. Performance is good tooOnly con is speaker volume,  it's less than average",3,0
20,Must buy!,5,Superb,0,0
20,Pretty good,4,Best product,0,0
21,Classy product,5,More than my expectations 🔥Awesome product 👌,5,1
21,Perfect product!,5,Valueable product,3,1
21,Super!,5,"Laptop is soo huge.. it's a 17 inch display.. backlit keyboard is really good, yet to use it on a full potential..",1,0
22,Mind-blowing purchase,5,"The best laptop for RTX 4050 with i7 13Gen, great gaming experience. Value for money ✌️",16,4
23,Awesome,5,"I have not been a Mac user but from my usage of 2023 MacBook Air M2 for almost a month now, following are my experience. The performance is very good. Battery lasts longer than older Mac as I did check with someone who uses older mac. The sound and display are added plus, 1080p videos look a bit low quality in this beast. During my research before buying this, I was oscillated between choosing 256GB and 512GB, many have suggested to go with 512 for better performance and so, had bought 512GB ...",64,6
23,Simply awesome,5,"This is my first Apple product, and I'm thoroughly enjoying it🥳 display is rated 5/5, speakers are 5/5, build quality is 5/5Permanence 5/5and it's perfect for coding and basic tasks. However, there are some disadvantages. Despite paying 1.2L, you only get 256 GB of storage, and most of it is utilized by Apple's built-in applications. Additionally, there are fewer ports we need bus c type  usb hub , additional SSD , Apart from these drawbacks, everything else is excellent.",62,10
23,Great product,5,"MacBook user since last 13 yrs. Was waiting for this 15 inch model since a long time.Not disappointed. It is all that I wanted and then some more.Battery, Display Size, M2 chip all very good.Plus all the benefits of apple ecosystem.Top product. Loved it",137,30
23,Awesome,5,It's cool,3,0
23,Perfect product!,5,"This is a perfect choice to have a premium personal laptop under 1.5L with 512 GB HD size. Battery, display, performance are just top notch and the usage experience of the laptop beats every other windows laptops like dell, hp, Samsung, Lenovo and others. For a working professional as well this is a best choice.",15,9
23,Brilliant,5,Too good,2,0
23,Awesome,5,perfection,5,3
23,Decent product,3,"I am facing issues with the charger ,the charger is not working properly",0,0
23,Simply awesome,5,Nice,0,0
24,Awesome,5,"I have not been a Mac user but from my usage of 2023 MacBook Air M2 for almost a month now, following are my experience. The performance is very good. Battery lasts longer than older Mac as I did check with someone who uses older mac. The sound and display are added plus, 1080p videos look a bit low quality in this beast. During my research before buying this, I was oscillated between choosing 256GB and 512GB, many have suggested to go with 512 for better performance and so, had bought 512GB ...",64,6
24,Simply awesome,5,"This is my first Apple product, and I'm thoroughly enjoying it🥳 display is rated 5/5, speakers are 5/5, build quality is 5/5Permanence 5/5and it's perfect for coding and basic tasks. However, there are some disadvantages. Despite paying 1.2L, you only get 256 GB of storage, and most of it is utilized by Apple's built-in applications. Additionally, there are fewer ports we need bus c type  usb hub , additional SSD , Apart from these drawbacks, everything else is excellent.",62,10
24,Great product,5,"MacBook user since last 13 yrs. Was waiting for this 15 inch model since a long time.Not disappointed. It is all that I wanted and then some more.Battery, Display Size, M2 chip all very good.Plus all the benefits of apple ecosystem.Top product. Loved it",137,30
24,Awesome,5,It's cool,3,0
24,Perfect product!,5,"This is a perfect choice to have a premium personal laptop under 1.5L with 512 GB HD size. Battery, display, performance are just top notch and the usage experience of the laptop beats every other windows laptops like dell, hp, Samsung, Lenovo and others. For a working professional as well this is a best choice.",15,9
24,Brilliant,5,Too good,2,0
24,Awesome,5,perfection,5,3
24,Decent product,3,"I am facing issues with the charger ,the charger is not working properly",0,0
24,Simply awesome,5,Nice,0,0
26,Classy product,5,"There's no wobbling issue unlike earlier victus laptops.Excellent graphics card, could handle any graphic intensive app/game.Only drawback is little memory (512gb). And DDR4 RAM (could have been DDR5). Overall, a great buy at this price.",12,2
26,Pretty good,4,"The performance of this laptop is awesome. Design also looks pretty good.As this is a gaming laptop battery time is soo less and laptop is sooo heavy. Along with performance sound system, camera, drivers are also excellent. Overall product is good and worth the money",32,13
26,Excellent,5,Just amazing product. But packages must be upgraded more as its cost is so high.,10,9
26,Value-for-money,4,Loved the design and the colour,1,2
26,Perfect product!,5,"This laptop is best in everything. Performance is like rocket. Battery backup is not much good, but rest of the thing is best. Along with performance sound system, camera, drivers are also excellent. Overall product is good and worth the money",0,0
26,Good choice,4,So Fantastic,0,0
26,Terrific,5,Great .......,0,0
26,Delightful,4,"Good @this price, delivery and performance 🔥",0,0
26,Must buy!,5,"Really valuable and speed , disign, technical and internal response. Everything is Superb only I did not checked design part but overal it is giving outstanding performance. Used it 10days but I am confident it's good",0,0
27,Really Nice,4,"The base is becoming a bit Heat within 30 minutes . But there is no problem.   Overall, it is a Nice laptop.",289,60
27,Terrific purchase,5,Hey everyone After reading all reviews I have purchased this laptop.Received it today early morning. It took 3 hours to start and then I took help of HP Support system and the issue was resolved within 5 mins. So go for it. Display and sound it too good as per me. Highly recommended for students.,303,71
27,Decent product,3,"Good for Normal useBattery 7/10Display 6/10Multitasking 9/10Build quality  8/10Camera 2/10Keyboard 10/10Trackpad 10/10Microphone 10/10For web surfing, Watching movies, listening songs(not much good speakers), attending classes, YouTube and medium multitasking ( can easily handle 3 to 4 *medium usage* apps at a time) this laptop is good.*It do not have LAN port*Processor is not too good but SSD and 8 GB ram Full fills that incompleteness.If you are looking laptop as a student ...",19,1
27,Nice product,4,In this price range its best laptop.,109,22
27,Excellent,5,Very fast laptop go for it little bit heating issue but don't worry about it it doesn't affects performance and battery,136,30
27,Excellent,5,Nice product suitable for any type of working and not too short works fast,134,30
27,Mind-blowing purchase,5,Nice laptop,121,28
27,Great product,5,"This Is one of the best laptop..good battery backup, good performance.veey fast...but lot of heating issue is there..after using 2 to 3 hours laptop is like iron box..but this heating issue I rectified by purchasing laptop cooling pad.",25,3
27,Nice product,4,"Received today don't know about performance but over all looks nice ,Thin & Light weight .",96,24
27,Nice product,4,Value For Money,15,1
28,Perfect product!,5,"After 20 days of usage, I would say this is the very best laptop at this price range, In this same specification laptop price range is starts from 30K upto 50K we can see!! okay lets tell my review by after 20 days,Pros: Every specification very nice, especially Performance, Multitask, Sound quality, Keyboard, Less weight, Slim, aesthetic look etc...Cons: Battery 4-5 hrs maximum backup, Camera quality low. Note: Dont judge this laptop from this cons.Overall : To be honest, Very impressi...",84,17
28,Terrific purchase,5,"Very good laptop, Good battery backup upto 4 to 5 hours,Becklit keyboard very good,Sound quality is very good,No heating issues,Over all good performance.GTA runs smoothly.",134,34
28,Fabulous!,5,"Awesome laptop, worth the price",80,19
28,Just wow!,5,Recommend for school going 11th and 12th cs students Plus biggner college going students were u don't have the budget and really u can opt for this ....worth every penny and I use it for video editing and canva poster editing and magisto also some multi tasking were I recommend this laptop for the purpose...if u want gaming u can buy it's on ur risk coz it's for the purpose not to play with games ...we can use this for academic purposes and if u want to gift a laptop to ur kid  who is joinin...,17,2
28,Brilliant,5,"The laptop is best in budget...I am totally happy with what I got under 19k...The laptop is fast and snapyPros-1. Display is outstanding and Anti glare 2. Performance 10/10 because of 512 GB ssd3. Looks- the design is very attractive and looks like a laptop worth rs50,0004. Light weight and compact 5. Got pre activated geniune windows 116. Can carry all the day to day tasks and casual gaming7. Backlight keyboards 😍Cons-1. Battery backup up upto 3.5 to 4 hours (edit- initially ...",13,1
28,Fabulous!,5,You can't find a better product at this price point. Go for it.,8,0
28,Highly recommended,5,Very nice product 😃,12,2
28,Terrific,5,CHUWI COREBOOK X is is much competent faster and excellent and very friendly user face.I really found it very awesome,5,0
28,Best in the market!,5,Go for it best in budget,11,3
28,Highly recommended,5,"Everything is good for the price but its build quality is what sometimes I think it may require some treatment in the long run overall if you are looking for basic work, office, net browsing, notes, videos movies, etc. it's is excellent in performance either it's Wi-Fi, Bluetooth or headphone jack quality everything is good, the display is also good, the speaker has a low volume which you compensate by buying external speakers or headphones I tried running a virtual machine on it with ubuntu ...",4,0
29,Classy product,5,Powerful one - if you care only about performance go for it,24,1
29,Must buy!,5,Excellent product,11,1
29,Worth the money,4,"This laptop is a beast. I am not a gamer and I bought this machine to meet my 3d rendering needs. The laptop becomes hot sometimes but the temperature never exceeded over 65C even rendering for hours. Thanks to optimization options in Lenovo Vantage software.  Overall, great purchase for me.",11,2
29,Simply awesome,5,"Great value for money. Thermals are good, great gaming performance and decent battery life when switched to quiet mode at 40-50% brightness. Overall I love this laptop. Definitely suggest without any doubt",5,0
29,Terrific Purchase from Flipkart in BBD sale,5,"Using this laptop for a week now.I will definitely say that this is a Beast in itself. Super powerful at the sametime AI based intellgent.I am using hybrid mode and can play all games as I dont need the top FPS, hence dont need to switch MUX switch everytime.I am loving the build, look, power and quality of the laptop.must recommended for all gamer and personal usage.. it doent fit in gaming genre becoz its not having those gamign looks (i feel disgusted with those looks) which is a plu...",4,0
29,Worth the money,4,"It's good, not the best but value for money for sure.",6,14
32,Worth every penny,5,It's an absolute beast!!!!!,89,10
32,Fabulous!,5,It's a good laptop for decent gaming. Finally I got it excellent product great performance with battery life,100,15
32,Brilliant,5,Superbbb 😘🎉 Laptop LATEST🔥Ram DDR5 16GB ⚡4.0 SSD ⚡💥PRESENTLY IN THIS CONFIGARATION ONLY ROG  LAPTOPS :)💫WITHOUT SECOND THOUGHT GO FOR IT 😉IT'S  NOT LAPTOP IT IS BEAST 👽,133,25
32,Simply awesome,5,Best laptop in this price range!,52,8
32,Great product,5,Looks: 5/5 Performance: 4.5/5 Heating: 4/5Display: 4/5Battery: 3.5/5,10,0
32,Brilliant,5,One of the best laptop for this Budget.  You can give it a shot.  True Beast.,51,11
32,Awesome,5,"Overall at the price of 84505 it's BEAST, display is far better than expectations, Performance is also OP , Battery is decent as it's Gaming laptop ..",17,3
32,Just okay,3,Wi fi connection problem occurs,10,1
32,Awesome,5,best laptop ever 250 nits of brightness wouldnt cause any bit of a problem. Best laptop at this price point,20,5
32,Terrific purchase,5,Great product. Very great performance.Only con I feel is it should have had webcam.,4,0
33,Awesome,5,"I have not been a Mac user but from my usage of 2023 MacBook Air M2 for almost a month now, following are my experience. The performance is very good. Battery lasts longer than older Mac as I did check with someone who uses older mac. The sound and display are added plus, 1080p videos look a bit low quality in this beast. During my research before buying this, I was oscillated between choosing 256GB and 512GB, many have suggested to go with 512 for better performance and so, had bought 512GB ...",64,6
33,Simply awesome,5,"This is my first Apple product, and I'm thoroughly enjoying it🥳 display is rated 5/5, speakers are 5/5, build quality is 5/5Permanence 5/5and it's perfect for coding and basic tasks. However, there are some disadvantages. Despite paying 1.2L, you only get 256 GB of storage, and most of it is utilized by Apple's built-in applications. Additionally, there are fewer ports we need bus c type  usb hub , additional SSD , Apart from these drawbacks, everything else is excellent.",62,10
33,Great product,5,"MacBook user since last 13 yrs. Was waiting for this 15 inch model since a long time.Not disappointed. It is all that I wanted and then some more.Battery, Display Size, M2 chip all very good.Plus all the benefits of apple ecosystem.Top product. Loved it",137,30
33,Awesome,5,It's cool,3,0
33,Perfect product!,5,"This is a perfect choice to have a premium personal laptop under 1.5L with 512 GB HD size. Battery, display, performance are just top notch and the usage experience of the laptop beats every other windows laptops like dell, hp, Samsung, Lenovo and others. For a working professional as well this is a best choice.",15,9
33,Brilliant,5,Too good,2,0
33,Awesome,5,perfection,5,3
33,Decent product,3,"I am facing issues with the charger ,the charger is not working properly",0,0
33,Simply awesome,5,Nice,0,0
34,Good choice,4,I liked it,0,0
35,Perfect product!,5,"Loved it, it's my first MacBook that I earned from my hardwork 🥺❤️",530,48
35,Super!,5,Super product,542,91
35,Awesome,5,"When i ordered and came to know about seller review,i was scared that in what condition i will get macbook. but i was wrong.This is my first macbook and i am fully satisfied with the product with original packaging of apple and got genuine product.It's very thin and light and looks very premium.As A software developer, i installed intellij idea ide and guess what.It's magic,it is opening just in a click and within 5 seconds.Great performance, no heating issue, sound quality awesome an...",216,38
35,Mind-blowing purchase,5,just love how apple is in their own league!!,65,9
35,Fabulous!,5,Such a great deal.. very happy with the performance and battery life..Origional product..🥰❤️Thank you Flipkart..!!!,98,17
35,Just wow!,5,Its really very good and compact device.,180,38
35,Good,3,"Note--It's not for everyone.You can't attach dual monitor setup easilyYou need to buy 3rd party adopter at your risk. I talked to Apple their port support only mirroring, not extended screen feature.Related to Ms Excel, normal excel will workBut will not be able to run high macro based files.For port and accessories, there is heating issues, hence be ready for another 7000 for display adopter and 2000-5000 for usb hubRest UI and using experience is very smooth, unbelievable when i c...",182,41
35,Worth every penny,5,Worth every penny u spend,133,29
35,Highly recommended,5,This is the first MacBook I ever have. And I must say no one can match Apple product.,70,14
35,Brilliant,5,Its very good product.,26,3
36,Simply awesome,5,Very good,2,3
37,Highly recommended,,Galaxy Book is ok but purchase it from any other source..READ MORE,0,0
38,Best in the market!,5,HIGH PERFORMANCE LAPTOPNO HEATING ISSUES,23,5
38,Just wow!,5,Nice,11,2
38,Utterly Disappointed,,"Not worth of money, think twice before buyingProblem start after one monthREAD MORE",10,17
39,Delightful,4,Best laptop for all uses....Not for Long session gaming 🎮Display is crisp and sharp💻Lightweight and easy to use 💯Speakers should have more loudness🔉🔊,1,0
39,Excellent,5,Awesome product 👌 😎 👏,2,3
40,Terrible product,,"Received two times, however both products touchpad were not functional. Battery drained drasticallyREAD MORE",17,2
40,Perfect product!,5,Product is fantastic. Top one.,0,0
41,Brilliant,5,Good laptop....,23,4
